pair_id,business_type,platform,rating,sentiment,topics,review_text,response_text,tone
P012,fastfood,yelp,1,negative,"food,service","They got my order completely wrong and refused to fix it. The fries were soggy and cold.","We are truly sorry for getting your order wrong and for the unacceptable response from our team. This is not how we operate, and we want to make this right. Please contact us directly with your order details and we will issue a full refund and ensure this never happens again.",apologetic
P013,restaurant,google,5,positive,"food,service,ambiance","Vibrant atmosphere and incredible tacos! The salsa bar is a genius touch. Staff were friendly and fun.","Thank you for such a wonderful review! ¡Muchas gracias! 🌮 We're thrilled you loved our tacos and our salsa bar — it's our favorite touch too! Our team will be so happy to hear your kind words. Come back soon for our taco Tuesday specials!",friendly
P014,cafe,google,4,positive,"food,ambiance","Fantastic tea selection and the avocado toast is Instagram-worthy and delicious. Quiet spot for working.","Thank you for your lovely review! We're so glad you found the perfect corner to work from, and that our avocado toast was worthy of a photo! Your feedback motivates our team to keep creating beautiful, delicious dishes. See you next time!",professional
P015,restaurant,google,5,positive,"food","Best New York style pizza outside NYC! Thin crust, generous toppings, and quick service.","That's the best compliment we could ever receive! 🍕 Our pizza makers have spent years perfecting that authentic NY-style crust, and hearing this makes every late night worth it. Thank you and please come back soon — we'll have a slice ready for you!",friendly
P016,hotel,google,5,positive,"service,amenities,ambiance","A true paradise! The spa was world-class and the staff went above and beyond to make our honeymoon special.","Congratulations on your honeymoon, and thank you so much for choosing to celebrate with us! Making special moments truly unforgettable is our greatest privilege. We hope your marriage brings you as much joy as it was our joy to host you. Please come back to celebrate your anniversary with us!",professional
P017,hotel,google,1,negative,"amenities,service","The WiFi kept disconnecting during my important video calls. When I reported it, nothing was fixed.","We sincerely apologize for the disruption to your work. Reliable connectivity is a fundamental requirement for our business travelers, and we clearly failed to deliver. We have escalated this to our technical team as a priority. We would appreciate the chance to discuss compensation for the inconvenience caused.",formal
P018,restaurant,yelp,1,negative,"food,hygiene","Found a hair in my miso soup. When I told the waiter, they just shrugged. Absolutely unacceptable.","We are deeply sorry and genuinely horrified to read about your experience. A foreign object in food combined with an indifferent response from our staff is an absolute failure on our part. We are conducting an immediate review of our kitchen hygiene protocols and addressing the service response directly. We kindly ask you to contact us privately so we can make this right.",apologetic
P019,bakery,google,5,positive,"food","The sourdough bread here is absolutely divine. Always fresh out of the oven in the morning.","Thank you so much — our bakers start at 4am to make sure that bread is perfect when you arrive! 🍞 Knowing our early mornings make your mornings better is the best reward. See you bright and early!",friendly
P020,restaurant,yelp,2,negative,"food,pricing","Portion sizes have shrunk dramatically. We used to love this place but the quality has dropped significantly.","Thank you for sharing this honest feedback, and for being a loyal customer. We hear your concerns and take them very seriously. We have been navigating some supply challenges recently, but we are actively working to restore the portion sizes and quality you fell in love with. Your loyalty means everything to us.",professional
P021,hotel,google,5,positive,"ambiance,food,service","What a gem! Staying in a 19th century manor house was magical. The gardens are gorgeous and afternoon tea was delightful.","We are so delighted you experienced the magic of our historic manor! Our team works tirelessly to preserve the elegance of this extraordinary building while adding modern warmth and hospitality. We'd love to have you back for one of our special heritage evenings.",professional
P022,restaurant,google,3,neutral,"food,service","Food was decent but nothing special. Expected more from the glowing reviews.","Thank you for taking the time to share your honest feedback. We're sorry the experience didn't live up to your expectations — we set the bar high for ourselves too. We'd love to have you back and show you what makes our regulars rave about us. Please let us know if there's anything specific we can do to make your next visit exceptional.",professional
P023,fastfood,yelp,1,negative,"food,hygiene","Got food poisoning after eating here. Reported it to the health department.","We are extremely concerned to read this and sincerely apologize for the distress this has caused you. Your health and safety are our absolute highest priority. We take all food safety reports with the utmost seriousness and have immediately launched an internal investigation. Please contact us directly so we can follow up with you personally.",formal
P024,hotel,tripadvisor,4,positive,"service,room_quality","Outstanding hotel. The only minor issue was that our room wasn't ready until 4pm despite a 3pm check-in.","Thank you for your generous review and for highlighting this issue. We apologize for the delay in having your room ready — this is not the punctual standard we aim for and we have noted this for our operations team. We're glad everything else met your expectations and hope to see you again soon!",professional
P025,cafe,yelp,5,positive,"service,food,ambiance","My favorite cafe for remote work! Reliable WiFi, great coffee, and the staff never make you feel rushed.","This totally made our day! ☕ We love having our work-from-cafe crew here and always want everyone to feel at home. We'll keep the coffee hot and the WiFi fast just for you!",friendly
P026,restaurant,google,5,positive,"food,service","Exceptional service from start to finish. The ribeye was perfectly cooked medium-rare. Excellent wine list too.","We are absolutely delighted to hear this! A perfectly executed ribeye and a great wine pairing are what fine dining dreams are made of. Please convey my personal thanks to your server — this is exactly what we aim for. We look forward to your next visit.",formal
P027,hotel,tripadvisor,4,positive,"room_quality,ambiance","Charming hotel with lots of character. The rooms could use some USB outlets but overall experience was lovely.","Thank you for your kind review and excellent suggestion! We are actually in the process of upgrading room amenities, and USB outlets are on the list. Your feedback helps us prioritize these improvements. We hope to see you again soon — with upgraded rooms!",professional
P028,restaurant,yelp,4,positive,"food","Very good ramen. The pork belly add-on is worth it. Gets packed during lunch so arrive early.","We appreciate your review and the great tip for our new guests! The pork belly is definitely a fan favorite. 🍜 To beat the lunch rush, you can also try our online reservation system. Hope to slurp noodles with you again soon!",friendly
P029,hotel,google,5,positive,"service,amenities,room_quality","The rooftop pool and bar are absolutely stunning. Rooms have floor-to-ceiling windows with city views. The butler service is exceptional.","Thank you for this remarkable review! We designed every aspect of our rooftop experience to take your breath away, and the butler team is truly the heart of what makes our service special. It would be our absolute pleasure to welcome you back again.",formal
P030,restaurant,google,2,negative,"service,wait_time","Reservation was lost, waited 30 minutes for a table we already booked. Management was unapologetic.","We are truly sorry for this experience and deeply regret that your reservation was mishandled and that our management team did not handle your frustration with the care and empathy you deserved. We are reviewing our reservation system and retraining our front-of-house team on guest recovery. Please contact us so we can personally make amends.",apologetic
P031,hotel,google,5,positive,"amenities,food,service","Farm-to-table, solar-powered, wildlife tours every morning. Guilt-free luxury in nature.","Thank you for this beautiful review that captures what we stand for perfectly! Sustainability and luxury should never be in conflict, and your words inspire us to keep pushing boundaries. We hope nature welcomed you warmly on those morning tours. Come back soon!",professional
P032,cafe,google,2,negative,"ambiance,service","Terrible WiFi despite advertising as a work-friendly cafe. Coffee was mediocre. Seating is uncomfortable.","We apologize for falling short on the very things we promise to deliver — reliable WiFi and a comfortable work environment. We've recently upgraded our router and are reviewing seating options. We'd love a chance to show you the improvements and earn back your trust.",apologetic
P033,restaurant,google,5,positive,"food","Outstanding dim sum! The har gow and siu mai are the best I've ever had. Authentic and generous portions.","We are so honored by your words — our dim sum masters have been perfecting these recipes for decades! Thank you for recognizing our commitment to authenticity. We would love to welcome you back for our weekend dim sum brunch service.",professional
P034,hotel,tripadvisor,2,negative,"amenities,room_quality","Beach access is blocked during renovation and nobody mentioned this when we booked.","We sincerely apologize for this significant oversight. You absolutely should have been notified of the beach access situation before your arrival, and the failure to communicate this proactively is inexcusable. We are improving our pre-arrival communications and would like to discuss a partial refund to acknowledge this impact on your stay.",formal
P035,restaurant,yelp,5,positive,"food","Finally a vegan restaurant where the food actually tastes amazing! The jackfruit tacos are incredible.","This review means everything to us! 🌱 We started this restaurant to prove that plant-based eating is an adventure, not a compromise. So happy the jackfruit tacos converted you! Come back for our new seasonal menu launching next month.",friendly
P036,bar,yelp,4,positive,"food,ambiance","Great craft beer selection and the nachos were perfect bar food. Lively atmosphere on weekends.","Thanks for hanging out with us! 🍺 We love our weekend atmosphere and our nacho recipe is a closely guarded secret we're happy you enjoyed. See you for the next game!",friendly
P037,bar,google,2,negative,"service,pricing,ambiance","Overpriced drinks and rude bartender. Music was too loud to have a conversation.","We're sorry to hear your visit didn't hit the right note. Our bartenders are trained to be welcoming and attentive, so we will be following up on this feedback directly. We're also reviewing our volume levels during peak hours. We'd welcome you back and will ensure a much better experience.",apologetic
P038,hotel,google,5,positive,"amenities,service","Excellent family resort! Kids loved the splash park and the kids club gave us adults some alone time.","We absolutely love hearing that both the little ones AND the parents had a wonderful time — that's our goal! Thank you for letting us be part of your family holiday. We hope to welcome your family back for many more summer adventures!",friendly
P039,hotel,tripadvisor,2,negative,"amenities,service","The pool was overcrowded. Nobody told us beach access was blocked during renovation.","We sincerely apologize for both of these issues. Communication about the renovation should have been proactive, and overcrowding in our pool areas is something we are actively managing with a new reservation system. Your feedback directly informs these improvements, and we are grateful for your candor.",formal
P040,restaurant,google,5,positive,"food,ambiance","Exquisite dining experience. The duck confit was extraordinary and the creme brulee was the best I've ever tasted.","Merci beaucoup for this extraordinary review! Our chef will be absolutely delighted to hear your words — the duck confit and creme brulee are prepared with meticulous care. It was our pleasure to host you for such a special evening. Nous espérons vous revoir bientôt!",formal
P041,hotel,google,5,positive,"service,room_quality","What a luxurious stay. From the golden doorman to the pillow menu, every detail is perfect.","We are deeply honored by your experience and your beautiful words. Creating perfection in every detail — from our doormen to our pillow selection — is a standard we hold sacred. Thank you for recognizing our dedication. We eagerly await your return.",formal
P042,hotel,tripadvisor,1,negative,"cleanliness,hygiene","Found cockroaches in the bathroom. Reported to management who were dismissive.","We are gravely concerned and deeply apologetic regarding what you described. Pest control and hygiene are non-negotiable at our property, and the dismissive response from management is being addressed immediately with the highest urgency. We have engaged our remediation team and are conducting a full inspection. Please contact us privately so we can discuss appropriate redress.",formal
P043,restaurant,google,4,positive,"food,pricing","Quick, cheap, and tasty! The street tacos are authentic and great value for money.","Thanks for the love! 🌮 Bringing you great tacos at prices that won't break the bank is what we're all about. We love that you chose us and hope to see you again soon — maybe try the al pastor next time!",friendly
P044,cafe,yelp,4,positive,"ambiance,food","Lovely spot for a quiet afternoon. Coffee is good and there's plenty of seating. Can get noisy on weekends.","Thank you for the kind review and the honest note about weekends! We're looking at ways to create quieter zones even during our busiest periods. We love that you found a peaceful afternoon spot with us — come back during the week for the coziest experience!",professional
P045,hotel,google,5,positive,"service,amenities","Wellness programs, mindful meals, and daily yoga completely recharged me. Staff are knowledgeable and caring.","Your words deeply moved our whole team — this is exactly why we do what we do. We believe in the transformative power of holistic wellness, and hearing that you felt genuinely recharged is our greatest reward. We hope you carry that feeling with you and return to refill your cup.",professional
P046,restaurant,google,3,neutral,"food,service","Food was healthy but bland. Needs more seasoning options. Good for a quick lunch but nothing exciting.","Thank you for your candid review! We're constantly working on our flavor profiles and your feedback about seasoning options is genuinely helpful. We're actually expanding our condiment station next month — we hope you'll come back and notice the difference!",professional
P047,restaurant,yelp,2,negative,"food,pricing","Overpriced for very small portions. The food was ok but not worth the cost. Disappointing.","We appreciate your honest feedback and understand your frustration with portion sizes relative to price. We're reviewing our menu pricing to ensure guests feel the value matches their expectations. If you're open to it, we'd love to invite you back to try our new value-focused lunch menu.",professional
P048,hotel,tripadvisor,2,negative,"room_quality,food","The heritage exterior is impressive but rooms were small and noisy plumbing kept me up all night. Breakfast was disappointing for a 5-star property.","We sincerely apologize for the disrupted sleep and the substandard breakfast experience. We are actively investing in plumbing upgrades and have recently hired a new executive chef to elevate our breakfast program. Your expectations as a guest of a five-star property are entirely justified, and we fell short on this occasion.",formal
P049,restaurant,google,5,positive,"food,service,ambiance","Our team loved the company dinner here. Private dining room was perfect. Highly recommend for groups.","We are so thrilled to have been the backdrop for your team dinner! Our private dining room is one of our favorite spaces to set up for special occasions. We'd love to host your next company event — ask about our group packages!",professional
P050,bakery,yelp,4,positive,"food","Great baked goods but they sell out early. Get there before 9am for the best selection.","This is the best problem to have! 😄 We're working on increasing our morning batches to keep up with demand. Your tip is great advice for everyone — early birds get the sourdough! We'll see you bright and early.",friendly
P051,hotel,tripadvisor,3,neutral,"room_quality,cleanliness","Average hotel in a great location. Nothing special but basics are covered. Decent breakfast included.","Thank you for your balanced review. We appreciate honest feedback as it helps us prioritize improvements. Our team is focused on elevating the overall experience beyond just the basics, and we hope to show you meaningful progress on your next visit.",professional
P052,restaurant,google,5,positive,"food,service","Best sushi I've had outside of Japan. The omakase was phenomenal. Chef came out to explain each course.","Arigato gozaimasu! 🍣 Our chef puts his heart and soul into every omakase experience, and knowing you felt that connection through each course is deeply meaningful. We would be honored to welcome you back for our seasonal omakase menu.",formal
P053,hotel,google,5,positive,"ambiance,food","Staying in a 19th century manor house was magical. The afternoon tea was delightful.","We are so glad the magic of our historic manor touched your heart! Afternoon tea in these storied halls is one of our most cherished traditions, and it's our pleasure to share it with guests who truly appreciate it. We would love to see you back.",professional
P054,cafe,google,3,neutral,"pricing","Good but pricey. $8 for a small latte feels steep. Nice atmosphere though.","Thank you for your honest feedback on our pricing — this is something we take seriously. We use premium single-origin beans and locally sourced dairy, which contributes to our pricing, but we understand it may not suit every budget. We'll continue to review our value proposition. We hope the quality and atmosphere keep you coming back.",professional
P055,hotel,google,4,positive,"amenities,room_quality","Great for an overnight airport stay. Shuttle was on time, check-in was quick, room was clean.","We're so glad we could make your transit smooth and stress-free! Punctuality and cleanliness are the foundations of a good transit hotel experience, and we're happy we delivered. Safe travels, and we hope to be your go-to spot for future airport layovers!",professional
P056,restaurant,yelp,5,positive,"food,service","The ramen broth is simmered for hours and you can taste it. Best noodles in town.","Long-simmered broth is our labor of love and we're so glad you could taste the difference! 🍜 Thank you for this wonderful review — it means everything to our kitchen team. See you at the noodle bar!",friendly
P057,hotel,tripadvisor,4,positive,"room_quality,amenities","Good for longer stays. The fully equipped kitchen is a huge plus.","Thank you for making our extended-stay suites your home away from home! We designed every suite with long-term guests in mind, so it's very rewarding to hear the kitchen made such a difference. We look forward to welcoming you back on your next assignment!",professional
P058,restaurant,google,5,positive,"food","Farm-to-table done right. Everything was so fresh and the menu changes seasonally.","Hearing this makes all our early mornings at the farm market worthwhile! 🥕 We believe the best restaurants start at the source, and our seasonal approach keeps us honest. Thank you for recognizing our commitment. We can't wait to show you what next season brings.",professional
P059,bar,google,4,positive,"food,ambiance","Great place to watch the game! Multiple screens, good beer selection, and awesome wings.","Now THAT'S our kind of review! 🏈🍺 We do wings and game-day atmosphere better than anyone — glad you agree! Come back for the next big match and we'll save you a great seat.",friendly
P060,hotel,google,5,positive,"service,ambiance","Woke up to the sound of waves, strolled to the beach, and the kids loved the water park.","Creating those perfect family memories is our favorite part of what we do! 🌊 Thank you for sharing this beautiful snapshot of your holiday with us. We hope the sound of waves stays with you long after you've returned home, and we can't wait to have your family back!",friendly
