review_id,platform,business_category,business_name,rating,review_text,sentiment,topics
R041,google,restaurant,The French Bistro,5,"Exquisite dining experience. The duck confit was extraordinary and the creme brulee was the best I've ever tasted. Romance at its finest.",positive,"food,ambiance"
R042,yelp,restaurant,The French Bistro,4,"Wonderful flavors and presentation. The wine pairing suggestions were excellent. A bit formal but that's expected.",positive,"food,service,ambiance"
R043,google,fastfood,Taco Town,4,"Quick, cheap, and tasty! The street tacos are authentic and generous. Great value for money.",positive,"food,pricing"
R044,yelp,fastfood,Taco Town,1,"Got food poisoning after eating here. Reported it to the health department. Avoid at all costs!",negative,"food,hygiene"
R045,google,restaurant,Harbor View,5,"Spectacular views and equally spectacular food. The grilled fish was fresh and beautifully seasoned. Perfect for special occasions.",positive,"food,ambiance"
R046,yelp,restaurant,Harbor View,3,"The view is worth the visit but the food is overrated. Good quality but not as outstanding as the prices suggest.",neutral,"food,pricing,ambiance"
R047,google,cafe,Bookworm Cafe,5,"Such a unique concept - cafe inside a bookstore! Great coffee, excellent book selection, and a wonderfully calm atmosphere.",positive,"ambiance,food"
R048,yelp,cafe,Bookworm Cafe,4,"Lovely spot for a quiet afternoon. Coffee is good and there's plenty of seating. Can get a bit noisy on weekends.",positive,"ambiance,food"
R049,google,restaurant,The Garden Restaurant,5,"Our team picked this for our company dinner and everyone was blown away. Private dining room was perfect. Highly recommend for groups.",positive,"food,service,ambiance"
R050,yelp,restaurant,The Garden Restaurant,2,"Reservation was lost, waited 30 minutes for a table we already booked. Management was unapologetic. Food was good when we finally got it.",negative,"service,wait_time"
